"A Mail was sent to %s","Un e-mail a été envoyé à l'adresse %s"
"Unable to send test : %s","Impossible d'envoyer un test : %s"
"Unable to send test : no shipment was found","Impossible d'envoyer un test : aucune expédition n'a été enregistrée"
"Rating Request","Demande de notation"
"Automatic Send Options","Options d'envoi automatique"
"Enable","Activer"
"Yes","Oui"
"No","Non"
"Days","Jours"
"Number of days after shipment for sending e-mail","Nombre de jours après expédition pour l'envoi d'une demande"
"Line Template","Gabarit ligne produit"
"Email Options","Options d'E-mail"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Test Email","Test de l'e-mail"
"Send to","Envoyer le mail de test à"
"Send a test mail","Envoyer un test"
"Send","Envoyer"
"Send Email Copy To","Envoyer une copie du mail à"
"Comma-separated","Séparé par des virgules"
"%s Request(s) was/were sent","%s e-mail(s) a/ont été envoyé(s)"
"Cron must be configured on your server","Le Cron doit être configuré sur votre serveur"
"Send Rating Request","Envoyer une demande de notation"